ID	Name	Type	Organiser	City	Country	Start_Date	End_Date	Abstract_Deadline	Deadline	Cost_EUR	Travel_Grant_Available	Audience	Fit_1_5	Fit_Rationale	Competition_Level	Effort_Estimate	Confidence	Last_Verified	First_Seen	Last_Updated	Change_Flag	Next_Action	Owner_Status	URL	Source_Note
E-0001	World Congress of Psychiatric Genetics (WCPG) 2026	Congreso anual	International Society of Psychiatric Genetics (ISPG)	Glasgow	United Kingdom	2026-09-29	2026-10-03	2026-05-14	2026-09-29		SI pero CERRADO: ECIP Travel Awards del Early Career Investigator Program, plazo 14-may-2026 (https://ispg.net/wcpg-2026/)	La concentracion mas densa del mundo de GWAS/PRS de trastornos psiquiatricos; asisten grupos del PGC. Sede de su linea (2) para contactos y grupos a los que acercarse.	5	Encaja de lleno con su linea (2): GWAS/PRS psiquiatrico. La mejor sala posible para encontrar grupos de acogida y poner cara a autores del PGC. Contra: el reloj de resumenes y del premio ECIP de 2026 ya cerro (mayo), asi que este ano solo puede asistir/hacer red, no presentar; Reino Unido es viaje barato desde Espana. Mantenerla para el ciclo de resumenes de WCPG 2027.	HIGH	M	VERIFIED en fechas; UNVERIFIED en cuotas y modalidad virtual	2026-09-21	2026-08-24	2026-09-21	UPDATED	Empieza en 8 dias. Si quisiera asistir en remoto o de ultima hora, escribir esta semana a la secretaria de ISPG: no hay ninguna tarifa publicada que podamos citar. Vigilar ispg.net/past-congresses el 5-oct-2026, porque la sede de WCPG 2027 suele anunciarse en la asamblea del propio congreso.	NEW	https://ispg.net/wcpg-2026/	ispg.net/wcpg-2026 abierta el 2026-09-21: confirma 29-sep a 03-oct-2026 en Glasgow y dice solo 'Registration is now OPEN'. NO publica tarifas ni tarifa late/onsite ni opcion virtual; el portal de inscripcion carga por JavaScript y no es legible por herramienta (tercer intento fallido, no insistir). WCPG 2027 NO esta anunciado: ispg.net/past-congresses solo lista 2026 como proximo. La ficha de Clocate titulada 'WCPG 2027' esta vacia, sin fechas ni ciudad: es un marcador, no un anuncio.
E-0002	ASHG 2026 Annual Meeting	Congreso anual	American Society of Human Genetics (ASHG)	Montreal	Canada	2026-10-20	2026-10-24	2026-08-26	2026-09-15	396	Si - premios de viaje ASHG Trainee/Epstein (no reverificados este ciclo)	La mayor reunion mundial de genetica humana/estadistica; mucho contenido de genetica estadistica, GWAS y rasgos complejos. Directamente su linea (1).	5	Su linea (1), genetica estadistica de rasgos complejos, es la columna vertebral de ASHG. RELOJ VIVO: los resumenes late-breaking abren 10-26 ago 2026 (cierra en ~2 dias); su articulo empirico en Nature Mental Health podria encajar como poster late-breaking si actua ya. Aun sin resumen, es la mejor sala para contactos de metodo. El coste es real (viaje a Canada + tarifa) pero la tarifa trainee es baja.	HIGH	M	VERIFIED	2026-09-21	2026-08-24	2026-09-21	UPDATED	Descartar 2026: entre 396 y 710 EUR de inscripcion mas vuelo transatlantico y hotel en Montreal, sin abstract aceptado, no sale pagandolo ella. Apuntar a ASHG 2027 en Nashville (E-0012) y solo con travel award.	NEW	https://ashgmeeting.ashg.org/	ashg.org/registration-rates abierta el 2026-09-21. Tramo Late/Onsite vigente desde que cerro Advance el 15-sep-2026 y hasta el congreso (20-24 oct 2026): socia estudiante/trainee 460 USD = 396 EUR; NO socia estudiante 825 USD = 710 EUR; socia profesional 920 USD = 791 EUR; no socia profesional 1400 USD = 1204 EUR. Conversion a ~0.86 EUR/USD. Cubre solo la inscripcion. La pagina de tarifas NO lista ninguna inscripcion virtual con precio: la existencia de opcion virtual queda SIN CONFIRMAR.
E-0003	ESHG Conference 2027 (European Human Genetics Conference)	Congreso anual	European Society of Human Genetics (ESHG)	Rotterdam	Netherlands	2027-06-12	2027-06-15	2027-02-04	2027-02-04		Si - becas ESHG / apoyo de viaje para jovenes investigadores (no verificado para 2027)	La principal reunion europea de genetica humana/estadistica; mucho contenido de rasgos complejos y epidemiologia genetica, grupos de la UE a los que podria unirse.	4	Fuerte encaje para la linea (1) y sus objetivos de reubicacion europea: la sala esta llena de los grupos de la UE a los que realmente se acercaria para un postdoc, y viajar desde Espana es barato. Pista limpia: el plazo de resumenes del 4-feb-2027 esta abierto de par en par, notificaciones a primeros de abril 2027, asi que puede planear un envio real. Algo menos especifico de psiquiatria que WCPG.	HIGH	M	VERIFIED	2026-09-21	2026-08-24	2026-09-21	UPDATED	Su congreso grande mas alcanzable: hibrido, en la UE, sin visado. Marcar en calendario la apertura de sumision en diciembre-2026 y enviar abstract antes del 2027-02-04 a las 23:59 CET.	NEW	https://2027.eshg.org/abstracts/	2027.eshg.org/abstracts abierta el 2026-09-21: 12-15 jun 2027 en Rotterdam, formato hibrido, plazo de abstracts 2027-02-04 23:59 CET CONFIRMADO. La sumision regular abre en diciembre-2026 y la notificacion llega a primeros de abril-2027. Presentar en el congreso es obligatorio para que el abstract se publique en el European Journal of Human Genetics. Todavia no hay cuotas ni premios de viaje publicados.
E-0004	Behavior Genetics Association (BGA) 2027 Annual Meeting	Congreso anual	Behavior Genetics Association (BGA)	Minneapolis	Estados Unidos	2027-06-29	2027-07-02				Si - premios de viaje BGA para estudiantes/trainees (no verificado para 2027)	La tribu de la genetica estadistica/conductual: modelos de gemelos, GWAS, PRS de rasgos psiquiatricos y conductuales. Presidenta de programa Sarah Medland (nombre PGC/PRS que le convendria conocer).	5	Sede ya confirmada y con un detalle que la afecta directamente: la program chair de 2027 es Sarah Medland (QIMR Berghofer), la institucion del proyecto de su manuscrito empirico en Nature Mental Health, asi que presentar alli pone su trabajo delante del grupo con el que ya colabora y del nucleo de la genetica del comportamiento. Ademas cae del 29-jun al 2-jul-2027, cinco semanas despues de terminar la residencia (22-may-2027): es el primer congreso grande de su linea 1 al que puede ir sin pelear por dias de libranza. Contra: EE.UU. implica ESTA y vuelo caro para una residente sin presupuesto de laboratorio.	MEDIUM	M	LIKELY	2026-09-21	2026-08-24	2026-09-21	UPDATED	Revisar bga.org en enero-2027: el plazo de abstracts de la BGA suele caer entre febrero y abril. Dato util de red: la presidenta de programa es Sarah Medland (QIMR), donde ella ya hizo estancia, y el anfitrion local es Scott Vrieze (U. Minnesota).	NEW	https://bga.org/	Pagina 'Future Meetings' de bga.org, leida el 2026-09-21 via buscador (el sitio es un portal de club y no se abre directo): 29-jun a 02-jul-2027 en Minneapolis. El plazo de abstracts, el programa y la inscripcion figuran explicitamente como TBA. Cuotas sin publicar.
E-0005	IGES 2026 Annual Meeting & Education Workshop	Congreso anual + workshop	International Genetic Epidemiology Society (IGES)	Estrie (Esterel Resort), Quebec	Canada	2026-10-18	2026-10-20	2026-05-30	2026-10-20	664	Si - apoyo de viaje/trainee de IGES (no verificado)	Sociedad pequena y centrada en metodos de epidemiologia genetica (metodologia GWAS/PRS, estadistica de rasgos complejos). El workshop educativo se dirige a trainees.	4	Fuerte encaje de metodos para su linea 1: IGES es la sociedad pequena donde se discute la metodologia de genetica estadistica cara a cara y con gente senior accesible, y su Education Workshop (85 USD) esta pensado justo para su nivel. Novedad de esta pasada, y es la que decide: cae 18-20-oct en Esterel, a una hora de Montreal, e inmediatamente ANTES de ASHG (20-24-oct, Montreal), asi que un solo vuelo transatlantico le compraria las dos salas. El freno es el dinero, no el encaje: sumar las dos inscripciones ronda los 1.400 EUR sin vuelo ni hotel, inasumible para una residente que paga de su bolsillo. Si tiene que elegir una sola, ASHG le da mas contactos y IGES mas metodo.	MEDIUM	M	VERIFIED	2026-09-21	2026-08-24	2026-09-21	UPDATED	Nada que hacer para 2026: sin abstract y con viaje a Quebec, no sale. Lo que si merece la pena es hacerse socia estudiante de la IGES: es su sociedad natural, da la lista de correo por la que se anunciara la siguiente fase del GAW 2027 y abarata la inscripcion de IGES 2027.	NEW	https://www.geneticepi.org/2026-annual-meeting	iges.memberclicks.net/2026-annual-meeting abierta el 2026-09-21: la inscripcion SIGUE ABIERTA en tramo Late/Onsite del 20-sep al 20-oct-2026. Socia estudiante/jubilada/bajos ingresos 772 USD = 664 EUR; no socia estudiante 882 USD = 759 EUR; socia academica 918 USD = 790 EUR; no socia profesional 1125 USD = 968 EUR. Education Workshop aparte, 85 USD = 73 EUR, en McGill. Conversion ~0.86 EUR/USD. El plazo de abstracts ya no figura (cerrado). Sin opcion virtual ni premios de viaje mencionados.
E-0006	SOBP 2027 Annual Meeting	Congreso anual	Society of Biological Psychiatry (SOBP)	Chicago	United States	2027-05-06	2027-05-08				Si - becas/premios de viaje SOBP (no verificado)	Psiquiatria biologica con una vertiente de genetica/imaging-genetics; solapa su linea (2) pero mas amplia que la genetica estadistica pura.	3	Encaje plausible via la vertiente de genetica psiquiatrica (linea 2), y oportunidad de conocer grupos de investigacion clinica dado su perfil de MD. Pero es viaje a EE.UU., mas amplio que sus metodos nucleares, y el reloj de resumenes (normalmente ~nov-dic 2026) aun no esta publicado. Menor prioridad que WCPG/ASHG/BGA; registrar y vigilar la convocatoria de resumenes.	HIGH	M	VERIFIED en fechas y ciudad; UNVERIFIED en plazos y cuotas	2026-09-21	2026-08-24	2026-09-21	UPDATED	Revisar sobp.org en noviembre-2026 para el call for abstracts. Prioridad baja: el tema de 2027 se aleja de su trabajo.	NEW	https://sobp.org/	sobp.org/sobp-annual-meeting abierta el 2026-09-21: 6-8 may 2027 en Chicago. El tema anunciado es 'The Metabolic Brain - Reconceptualizing Mental Illnesses as Systemic Disorders through Metabolism', que queda lejos de la genetica estadistica: el encaje es mas bajo de lo que sugiere el nombre del congreso. La sumision que figura cerrada en la web es la de 2026; historicamente SOBP abre abstracts en otono y cierra en enero. Cuotas sin publicar.
E-0007	Sleep Europe 2026 (28th ESRS Congress)	Congreso bienal	European Sleep Research Society (ESRS)	Maastricht	Netherlands	2026-10-20	2026-10-23	2026-04-01			Si - becas de viaje/registro ESRS para inicio de carrera (no verificado)	Principal reunion europea de investigacion del sueno; un nicho de genetica/epidemiologia del sueno relevante para su linea (3), sueno infantil.	3	Plausible via su linea (3), genetica del sueno, y su manuscrito en Journal of Sleep Research: un lugar para encontrar grupos de fenotipos de sueno. Pero es un publico de medicina del sueno mas que de genetica, y el plazo regular de resumenes (~1-abr-2026) ya paso; parece existir una ronda late-breaking pero no pude confirmar su fecha. Viaje barato en la UE es la ventaja. Registrar por los contactos de genetica del sueno.	MEDIUM	M	VERIFIED en fechas y sede; UNVERIFIED en cuotas	2026-09-21	2026-08-24	2026-09-21	UPDATED	Si le interesa, tiene que abrir ella misma esrs.eu/sleep-congress/registration desde un navegador normal: es un bloqueo antibot, no una pagina caida. Por via automatica no hay forma de obtener el precio.	NEW	https://congrex.com/events/sleep-europe-2026-the-28th-congress-of-the-european-sleep-research-society/	Confirmado por segunda puerta el 2026-09-21, el PCO oficial (Congrex Switzerland): congreso HIBRIDO, 20-23 oct 2026, MECC Maastricht (Forum 100, 6229 GV). La tarifa early cerro el 2026-07-28. Ni Congrex ni los buscadores publican importes; la unica pagina con la tabla de cuotas es esrs.eu/sleep-congress/registration, que devuelve 403 a acceso automatizado por tercera semana. El caracter hibrido implica modalidad online, sin precio verificable.
E-0008	SLEEP 2027 (APSS Annual Meeting)	Congreso anual	Associated Professional Sleep Societies (AASM + Sleep Research Society)	Denver	United States	2027-06-06	2027-06-09				Si - premios de viaje/merito SRS para trainees (no verificado)	La mayor reunion de investigacion del sueno (EE.UU.); tiene una via de genetica/epidemiologia del sueno que toca su linea (3).	3	Plausible para la linea (3) y el mayor publico de sueno, pero el coste de viaje a EE.UU. es alto para una linea que es la tercera de su lista, y el plazo de resumenes 2027 aun no esta publicado (normalmente ~primeros de dic 2026). Menor prioridad que la opcion europea de sueno; registrar y revisar la convocatoria a finales de 2026.	MEDIUM	M	LIKELY en fechas; UNVERIFIED en plazo de abstracts	2026-09-21	2026-08-24	2026-09-21	UPDATED	Volver a comprobar en noviembre-2026 usando la ficha de aasm.org, no sleepmeeting.org: el call for abstracts de SLEEP suele abrir en otono y cerrar el primer dia habil de diciembre.	NEW	https://aasm.org/event/sleep-2027/	sleepmeeting.org no se abrio (bloqueo conocido, devuelve contenido vacio por tercera semana); usada la ficha de AASM como puerta alternativa. Se mantienen 6-9 jun 2027 en Denver como fechas del congreso; una fuente Tier 2 (eMedEvents) da la 41a reunion anual de APSS como 5-9 jun 2027 en el Colorado Convention Center, y ese dia extra suele ser la jornada de cursos previa, asi que no es contradiccion. Plazo de abstracts AUN NO PUBLICADO: solo circulan los de 2026.
E-0009	Neuroscience 2026 (SfN Annual Meeting)	Congreso anual	Society for Neuroscience (SfN)	Washington, D.C.	United States	2026-11-14	2026-11-18	2026-09-15	2026-09-15		Si - SfN Trainee Professional Development Award (TPDA) (no verificado)	Reunion de neurociencia enorme y amplia; el contenido de genetica estadistica queda diluido entre decenas de miles de asistentes.	2	Solo registrado: demasiado amplio y grande para su foco estrecho en genetica estadistica, y el viaje a EE.UU. es caro para bajo retorno dirigido. Nota: hay una ventana late-breaking 8-15 sep 2026 si alguna vez quisiera visibilidad neuro general.	MEDIUM	M	VERIFIED	2026-09-07	2026-08-24	2026-09-07	UPDATED	Reloj vivo a 8 dias, pero es solo la ventana de late-breaking (8 a 15-sep-2026, cierre a las 17:00 EDT, sin prorroga) y exige ser socia de la SfN: con Fit 2 lo razonable es dejarlo pasar salvo que quiera datos nuevos en sala; no requiere ninguna accion mas.	NEW	https://www.sfn.org/meetings/neuroscience-2026	Tier 1, sfn.org (paginas de late-breaking abstracts y call for abstracts) el 2026-09-07: la convocatoria ordinaria fue 27-may a 10-jun-2026 y las notificaciones salieron a principios de agosto; el 15-sep-2026 que teniamos registrado corresponde al cierre de los late-breaking, no al plazo general. Congreso 14-18 nov 2026 en el Walter E. Washington Convention Center, Washington DC.
E-0010	FENS Forum 2026	Foro bienal	Federation of European Neuroscience Societies (FENS)	Barcelona	Spain	2026-07-06	2026-07-10	2026-04-27			Si - becas de viaje del FENS Forum (confirmadas para 2026)	El mayor foro de neurociencia de Europa (8.000+); amplio, poco contenido dedicado a genetica estadistica.	2	Solo registrado: ya paso (6-10 jul 2026, en Barcelona - habria sido barato para ella) y FENS es bienal, asi que la proxima edicion es 2028. Demasiado amplio para sus metodos nucleares. Anotar para 2028 solo si quiere presencia neuro general en casa.	MEDIUM	M	VERIFIED	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://fensforum.org/	Web oficial fensforum.org via busqueda: resumen regular 5 feb 2026, late-breaking 27 abr 2026 (ambos pasados); evento en jul 2026. Bienal - proximo Forum 2028.
