ID	Name	PI	Institution	City	Country	Research_Lines	Techniques	Openings_Known	Funding_Status	Contact_Route	Recent_Output	Fit_1_5	Fit_Rationale	Competition_Level	Competition_Basis	Effort_Estimate	Confidence	Last_Verified	First_Seen	Last_Updated	Change_Flag	Next_Action	Owner_Status	URL	Source_Note
L-0001	Complex Trait Genetics (CTG) Lab	Danielle Posthuma	Center for Neurogenomics and Cognitive Research (CNCR), Vrije Universiteit Amsterdam / Amsterdam UMC	Amsterdam	Netherlands	Genomica estadistica y psiquiatrica; desarrollo de metodos para variantes comunes+raras; modelizacion fenotipica; conectomica	GWAS/WES/WGS, LDSC, MAGMA/FUMA/PoPS, REGENIE, metodos afines a genomic SEM; R, Python, UNIX	Un anuncio 'Postdoc Statistical Genetics' (BRAINSCAPES) cerro el 18-jun-2025 (academictransfer.com/352365); pagina de empleo viva en cncr.nl/ctg/jobs/ - sin anuncio actual, pero la financiacion Gravitation a 10 anos hasta 2030 implica contratacion recurrente	BRAINSCAPES, Programa Gravitation neerlandes 2020-2030 (fuente: anuncio VU/AcademicTransfer); pista larga	Correo en frio a Posthuma (o via asistente brigitte.borgman@vu.nl) - gancho: MD+PhD en genetica conductual/estadistica con PLINK/R/Python, ofreciendo reforzar la vertiente de genomica psiquiatrica; preguntar por proximas plazas postdoc de BRAINSCAPES	Produccion continua de referencia en Nature Genetics / Nat Hum Behav sobre metodos GWAS de rasgos complejos (grupo puntero de genetica estadistica)	5	De lleno en su linea 1 (genetica estadistica de rasgos complejos) y linea 2 (GWAS psiquiatrico). Taller lider mundial de metodos+aplicacion donde sus PLINK/R y Python asistido por IA son directamente desplegables; UE, sin visado. Primer correo: liderar con el combo MD+PhD y el rango tecnico, citar los dos manuscritos en revision, preguntar si reabrira un postdoc BRAINSCAPES/CTG y ofrecer un breve research statement.	HIGH	Laboratorio de genetica estadistica de primer nivel mundial; los anuncios postdoc atraen candidaturas internacionales fuertes	S	VERIFIED	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://cncr.nl/ctg/	Abri cncr.nl/ctg/ y el anuncio cerrado de AcademicTransfer yo misma
L-0002	Psychiatric Genetics Group	Sarah Medland	QIMR Berghofer Medical Research Institute	Brisbane	Australia	GWAS/PRS psiquiatrico (TDAH, bipolar, depresion, esquizofrenia), genetica de estructura cerebral (ENIGMA), genetica de salud de la mujer	GWAS, PRS, modelos de gemelos/familia, imaging genetics; R, pipelines tipo PLINK	Sin anuncio en la pagina del grupo; grupo grande y multi-subvencion (NHMRC/MRFF/NIH/ARC/ERC) = contratacion frecuente - preguntar directamente	NHMRC, MRFF, NIH, ARC, ERC listados en la pagina del grupo (fuente: qimrb.edu.au)	CALIDO: ya hizo una estancia en QIMR Berghofer (el articulo empirico en Nature Mental Health). Re-contactar a su anfitrion de QIMR / Medland o Lucia Colodro Conde (miembro hispanohablante) - gancho: 'fui visitante aqui, mi articulo basado en QIMR esta en revision en Nature Mental Health, termino el doctorado y busco postdoc'	Preprint de GWAS multi-ancestral de trastorno por uso de estimulantes (medRxiv, jun 2026); estudios AAA (TEA+TDAH) y Australian Genetics of Bipolar Disorder en curso	5	Diana directa en lineas 1-2, y tiene relacion previa + produccion en revision de este mismo instituto - la pista calida mas fuerte del conjunto. El primer correo debe referir su estancia previa y el articulo pendiente, nombrar el trabajo de PRS/psiquiatrico de Medland, y preguntar por plazas postdoc/staff-scientist. Unica salvedad: Australia = necesita patrocinio de visado (marcar, no bloqueante).	HIGH	Laboratorio de prestigio, pero la conexion calida reduce materialmente su competencia efectiva	S	VERIFIED	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://www.qimrb.edu.au/researchers-and-labs/psychiatric-genetics	Abri la pagina del grupo de QIMR Berghofer yo misma; su estancia previa en QIMR consta en el brief de la candidata
L-0003	Center for Quantitative Genetics and Genomics (grupo Speed)	Doug Speed	Aarhus University	Aarhus	Denmark	Desarrollo de metodos estadisticos en genetica de rasgos complejos humanos; subtipado/clasificacion de enfermedad a partir de datos geneticos (ecosistema LDAK)	GWAS, metodos de heredabilidad/PRS, LDAK; R/Stata/Matlab/C, UNIX	Anuncio postdoc ABIERTO: 'Method development in human statistical genetics, focus on disease classification', plazo 1-may-2026, 2 anos, inicio 1-oct-2026 (Nature Careers job 12856703)	Linea postdoc financiada (plaza de 2 anos anunciada); fuente: anuncio Nature Careers	Correo directo a doug@qgg.au.dk - gancho: su solida genetica estadistica aplicada (PLINK/R) + la mirada clinica/MD sobre heterogeneidad de enfermedad; el anuncio dice genetica previa 'preferible no requerida', asi que su perfil supera el corte comodamente	Linea de software LDAK; articulos de metodos de rasgos complejos en curso	4	Plaza concreta ABIERTA en su linea 1 (genetica estadistica de rasgos complejos), UE/sin visado, y el marco de clasificacion de enfermedad encaja con una MD que entiende la heterogeneidad clinica. Algo mas orientado a metodos que su nucleo aplicado, asi que el correo debe enfatizar disposicion a hacer desarrollo de metodos ofreciendo a la vez experiencia clinica/de fenotipos psiquiatricos; su Python/R y PLINK cubren la pila. Solicitar antes del 1-may-2026.	MEDIUM	Rol especializado de desarrollo de metodos estrecha el grupo de candidatos frente a un postdoc generico de GWAS psiquiatrico	S	VERIFIED	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://www.nature.com/naturecareers/job/12856703/	Abri el anuncio de Nature Careers yo misma
L-0004	Generation R - genetica del sueno infantil	Desana Kocevska (con Generation R / Erasmus MC, epidemiologia de psiquiatria infantil)	Erasmus MC University Medical Center	Rotterdam	Netherlands	Genetica/PRS del sueno infantil, epidemiologia del sueno del desarrollo, trayectorias de sueno materno-infantil (Generation R / Generation R Next)	PRS en cohortes pediatricas, epidemiologia longitudinal/de cohortes, scores derivados de GWAS; R	desconocido - sin anuncio; abordar como correo en frio / sondeo de colaboracion	Generation R es una gran infraestructura de cohorte de nacimiento (bien financiada); subvencion especifica del grupo no confirmada	Correo en frio a Kocevska - gancho: su review en revision en Journal of Sleep Research + foco en genetica del sueno infantil encajan casi exactamente con este grupo; ofrecer aportar habilidades de genetica estadistica/PRS a los fenotipos de sueno infantil	'Are some children genetically predisposed to poor sleep? A polygenic risk study' (J Child Psychol Psychiatry, 2024); trayectorias de sueno materno, Generation R Next (2025, Sleep Medicine)	5	El solapamiento mas raro del conjunto: su nicho exacto de linea 3 (genetica del sueno infantil) combinado con metodos PRS (linea 1/2). Muy pocos grupos hacen sueno pediatrico + genetica; este es uno. UE/sin visado. Primer correo: citar su review de sueno, nombrar el articulo de JCPP 2024, proponer extender su trabajo de PRS a fenotipos de sueno mas tempranos (infantiles) que conoce de su revision sistematica.	MEDIUM	Area de nicho (genetica del sueno pediatrico) con una comunidad especialista pequena	S	LIKELY	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://acamh.onlinelibrary.wiley.com/doi/10.1111/jcpp.13899	Dos fuentes secundarias (articulo JCPP + cobertura de Erasmus/prensa); no abri una homepage del grupo, asi que el titulo/estructura actual exactos de la PI quedan sin confirmar
L-0005	MRC Centre for Neuropsychiatric Genetics & Genomics	James Walters (Director del Centro)	Cardiff University	Cardiff	United Kingdom	GWAS psiquiatrico (esquizofrenia, bipolar, TDAH, neurodesarrollo), genomica de CNV/variantes raras, metodos estadisticos/bioinformaticos	GWAS, PRS, analisis de CNV, bioinformatica; grandes cohortes de genetica psiquiatrica del Reino Unido	El Centro mantiene una pagina de vacantes viva (cardiff.ac.uk/...neuropsychiatric-genetics-genomics/about/current-vacancies) pero no se confirmo plaza actual en esta busqueda	Financiacion permanente del MRC Centre + multiples subvenciones de proyecto (mayor grupo de genetica psiquiatrica del Reino Unido); fuente: paginas del centro de Cardiff	Correo en frio a un PI de linea (p.ej. Walters o un lider de PRS/estadistica) - gancho: geneticista estadistica MD+PhD que quiere pasar a GWAS/PRS psiquiatrico; pedir que la avisen de proximas convocatorias postdoc	Produccion sostenida en Nature Genetics / Biological Psychiatry / Molecular Psychiatry de GWAS psiquiatrico (centro insignia del Reino Unido)	4	Coincidencia directa con lineas 1-2 y hogar natural para una geneticista estadistica psiquiatrica. Revisar la pagina de vacantes cada semana; si no hay nada abierto, un correo en frio es normal. RU = necesita patrocinio de visado post-Brexit (marcar). El correo debe destacar su independencia en genetica estadistica (PLINK/R) y su formacion clinica.	HIGH	Mayor centro de genetica psiquiatrica del Reino Unido; grupo de candidatos internacional competitivo	S	LIKELY	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://www.cardiff.ac.uk/centre-neuropsychiatric-genetics-genomics	Solo resultados de busqueda (surgieron paginas de personal senior + vacantes); no abri las paginas del todo - direccion/liderazgo de fuentes secundarias
L-0006	SGDP Centre / Statistical Genetics Unit	Cathryn Lewis (Jefa de Depto / Stat Genetics Unit) y Gerome Breen (genetica psiquiatrica)	MRC Social, Genetic & Developmental Psychiatry Centre, IoPPN, King's College London	London	United Kingdom	Epidemiologia y estadistica genetica de trastornos psiquiatricos; PRS de depresion/ansiedad/trastornos alimentarios; cohortes GLAD/trastornos alimentarios	GWAS, PRS, epidemiologia genetica, metodos estadisticos; R	desconocido - sin anuncio confirmado; vale la pena vigilar los tablones ISPG/KCL	MRC centre + multiples subvenciones; una publicacion reciente en Nature (ene 2026) indica programas activos y financiados (fuente: resultados de busqueda)	Correo en frio a Lewis (Statistical Genetics Unit) o Breen - gancho: geneticista estadistica (PLINK/R) con formacion clinica MD, interesada en PRS de trastornos del animo; su review de depresion + trabajo en revision son relevantes	Articulo en Nature (ene 2026) con Lewis y Breen; trabajo en curso de PRS de depresion	5	Coincidencia nuclear en lineas 1-2, con el PRS de depresion como fuerza nombrada - directamente su linea 2. La Statistical Genetics Unit de Lewis es un hogar explicito de genetica estadistica. RU necesita visado (marcar). Primer correo: nombrar la unidad, citar su foco en depresion/salud mental, preguntar por plazas postdoc o co-patrocinio de beca (podria traer su propia beca).	HIGH	Centro insignia de genetica psiquiatrica/estadistica del Reino Unido, fuerte demanda de candidatos	S	LIKELY	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://www.kcl.ac.uk/research/sgu	Dos fuentes secundarias (perfiles KCL + pagina SGU en resultados); no abri la pagina de la SGU yo misma
L-0007	Grotzinger Lab (genomica psiquiatrica multivariante)	Andrew Grotzinger	Institute for Behavioral Genetics y Dept of Psychology and Neuroscience, University of Colorado Boulder	Boulder	USA	Desarrollo de metodos genomicos multivariantes (Genomic SEM), genetica psiquiatrica y cognitiva transdiagnostica	Genomic SEM, modelizacion de summary-stats de GWAS, PRS; R	desconocido - PI de inicio de carrera, IBG tiene pagina de 'positions'; probablemente creciendo/contratando - preguntar directamente	Autor principal de un articulo en Nature (dic 2025) (5 factores genomicos en 14 trastornos psiquiatricos); programa activo financiado por NIH implicito (fuente: noticias CU Boulder IBG)	Correo en frio a Grotzinger - gancho: geneticista estadistica MD+PhD que quiere aplicar Genomic SEM a fenotipos psiquiatricos transdiagnosticos / de sueno; los PIs junior responden mas a correos en frio y suelen estar montando equipo	Nature (dic 2025): mapeo del paisaje genetico en 14 trastornos psiquiatricos (s41586-025-09820-3)	4	Fuerte encaje con lineas 1-2 con un metodo de moda y alta visibilidad (Genomic SEM) que podria aprender rapido dado su fondo de R/estadistica. Laboratorio de inicio de carrera = menor competencia y mayor capacidad de respuesta que los mega-hubs. EE.UU. = patrocinio de visado (marcar). El correo debe proponer una aplicacion concreta de Genomic SEM a un fenotipo que conoce (p.ej. sueno o un rasgo psiquiatrico) y notar que quiza pueda traer financiacion de una beca de la UE.	MEDIUM	Laboratorio junior, equipo mas pequeno/nuevo que los hubs consolidados	S	LIKELY	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://www.colorado.edu/behavioral-genetics/andrew-grotzinger	Perfil CU Boulder IBG + anuncio del articulo en Nature en resultados; no abri la pagina del laboratorio del todo
L-0008	Saxena Lab (genomica del sueno y circadiana)	Richa Saxena (con Hassan Dashti)	Center for Genomic Medicine, Massachusetts General Hospital / Harvard Medical School / Broad Institute	Boston	USA	Genetica de rasgos de sueno y circadianos (duracion, siestas, cronotipo), enlaces sueno-cardiometabolico, GWAS de salud del sueno compuesta	GWAS a gran escala (UK Biobank, etc.), fenotipado por acelerometro/actigrafia, PRS; R/Python	desconocido - revisar la pagina 'team/positions' del Saxena Lab; laboratorio grande y conocido con rotacion	Laboratorio permanente financiado por NIH en MGH/Broad; subvencion 2025-26 especifica no confirmada	Correo en frio a Saxena o Dashti - gancho: su review en revision en Journal of Sleep Research + interes en genetica del sueno; ofrecer habilidades de genetica estadistica (linea 1) aplicadas al sueno (linea 3)	Trabajo de GWAS de score compuesto de salud del sueno (2025); previo GWAS de referencia de duracion habitual del sueno (Nat Commun)	4	El laboratorio de genetica del sueno mas conocido del mundo - encaja con la linea 3 (genetica del sueno) ejecutada con metodos de linea 1. Sueno adulto mas que infantil, asi que el correo debe notar su angulo de genetica del sueno infantil como extension complementaria. Visado EE.UU. (marcar). Buena diana si quiere hacer de la genetica del sueno su titular en vez de la psiquiatrica.	HIGH	Laboratorio de elite Harvard/Broad de genetica del sueno, alta demanda de candidatos	S	LIKELY	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://saxena.mgh.harvard.edu/	Perfiles MGH/HMS/Broad + articulo Nat Commun en resultados; no abri el sitio del laboratorio yo misma
L-0009	Estonian Genome Centre / grupo de genetica estadistica del Estonian Biobank	Reedik Magi (con Kristi Lall)	Institute of Genomics, University of Tartu	Tartu	Estonia	GWAS de rasgos complejos, epidemiologia genetica a escala de biobanco, PRS para traslacion clinica, fenotipado de datos de atencion primaria	GWAS de biobanco (>212k EstBB), PRS, meta-analisis; R, herramientas tipo PLINK	desconocido - revisar la pagina de empleo de la University of Tartu / Institute of Genomics	Infraestructura nacional de biobanco + programas UE de medicina personalizada (fuente: articulos de perfil de EstBB 2025)	Correo en frio a Magi/Lall - gancho: geneticista estadistica (PLINK/R) con formacion clinica/de medicina de laboratorio, bien situada para la traslacion de PRS de biobanco a la clinica; preguntar por lineas postdoc	'Diverse landscape of genomic research within the Estonian Biobank' (Hum Mol Genet, 2025); caracterizacion de variantes de GWAS de IMC en EstBB (Nat Commun, 2025)	4	Encaje solido de linea 1 (genetica estadistica de rasgos complejos) en un entorno UE/sin visado con un angulo de traslacion clinica que encaja con su residencia de Medicina de Laboratorio. Menor perfil que los mega-hubs = mejores probabilidades. El correo debe conectar sus habilidades de PRS/PLINK con el trabajo de rasgos complejos a escala de biobanco y su mirada MD/medicina de laboratorio con el despliegue clinico de PRS.	MEDIUM	Fuerte pero menos saturado globalmente que las insignias RU/NL/EE.UU.	S	LIKELY	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://genomics.ut.ee/en	Articulos de perfil de EstBB 2025 + perfiles de investigadores en resultados; no abri una pagina del grupo
L-0010	Grupo de Neurogenetica (Depto de Genetica, UB)	Bru Cormand	Universitat de Barcelona / IBUB / CIBERER	Barcelona	Spain	Genetica de trastornos neuropsiquiatricos/del neurodesarrollo (TDAH, TEA, migrana, uso de sustancias), GWAS + variantes raras + funcional	GWAS, secuenciacion de exoma, PRS/solapamiento poligenico, transcriptomica, modelos animales	desconocido - los grupos espanoles suelen contratar via convocatorias nacionales (Juan de la Cierva, Margarita Salas) a las que podria co-solicitar	Grupo de larga trayectoria financiado por MICIN/CIBERER; subvencion actual especifica no confirmada	Correo en frio a Cormand (en espanol) - gancho: opcion en su pais, sin reubicacion; su interes en TDAH/GWAS psiquiatrico + PLINK/R encaja con su trabajo de solapamiento poligenico; proponer co-solicitar una beca postdoc espanola	Contribuidor al GWAS de TDAH que identifico 27 loci; trabajo 2025 sobre variantes comunes+raras en TDAH (genes cerebelosos/inmunes)	3	Plausible con reencuadre: fuerte en genetica psiquiatrica/del neurodesarrollo (linea 2) pero mas molecular/funcional que su nucleo de genetica estadistica pura, asi que ella se encargaria de la parte de estadistica/PRS. Su valor es como su alternativa en Espana/sin reubicacion, alineada con su deseo #2 (permanecer en el sistema espanol) - una co-solicitud de beca aqui la mantiene en el pais haciendo investigacion. El correo debe vender el complemento de genetica estadistica y la via de beca conjunta.	MEDIUM	Grupo espanol consolidado; contratacion condicionada a becas nacionales	S	LIKELY	2026-08-24	2026-08-24	2026-08-24	NEW		NEW	https://www.ub.edu/genetica/	Perfiles IBUB/UB + ResearchGate y articulos de GWAS de TDAH en resultados; no abri una pagina actual del grupo
