ID	Source	Category	URL	What_It_Surfaces	Query_or_Filter	Cadence	Priority	Last_Checked	Notes
SRC-0001	EURAXESS	POSTDOCS	https://euraxess.ec.europa.eu/jobs/search	EU-wide researcher job portal (R2 postdoc filter)	research field: genetics/statistics OR neuroscience OR psychiatry; country: all EU/EEA; keywords "statistical genetics", "GWAS", "polygenic risk score", "psychiatric genetics", "sleep genetics"	weekly	HIGH		afinada tras definir el perfil, 2026-08-23
SRC-0002	jobs.ac.uk	POSTDOCS	https://www.jobs.ac.uk	UK and international academic vacancies	subject: Biological Sciences / Psychology; keywords "statistical genetics", "psychiatric genetics", "GWAS", "PRS", "behavioural genetics", "sleep"	weekly	HIGH		afinada tras definir el perfil, 2026-08-23
SRC-0003	Nature Careers	POSTDOCS	https://www.nature.com/naturecareers	Academic and industry research jobs worldwide	keywords "statistical genetics", "GWAS", "polygenic risk score", "psychiatric genetics", "behavioural genetics", "sleep genetics"; all countries	weekly	HIGH		afinada tras definir el perfil, 2026-08-23
SRC-0004	Science Careers	POSTDOCS	https://jobs.sciencecareers.org	AAAS job board, academia and industry	keywords "statistical genetics", "psychiatric genetics", "GWAS", "PRS", "computational genetics"	weekly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0005	Academic Positions	POSTDOCS	https://academicpositions.com	European academic vacancies by field	field: Genetics / Neuroscience / Psychology; keywords "statistical genetics", "psychiatric genetics", "GWAS", "PRS"	weekly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0006	FindAPostDoc	POSTDOCS	https://www.findapostdoc.com	Postdoc listings, mostly UK/EU	keywords "statistical genetics", "psychiatric genetics", "GWAS", "PRS", "sleep genetics", "behavioural genetics"	weekly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0007	AcademicTransfer	POSTDOCS	https://www.academictransfer.com	Dutch universities and institutes	keywords "statistical genetics", "genetic epidemiology", "sleep genetics" — the Netherlands is a hub for both (Erasmus MC, VU Netherlands Twin Register)	weekly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0008	ResearchGate Jobs	POSTDOCS	https://www.researchgate.net/jobs	Academic job listings	keywords "statistical genetics", "psychiatric genetics", "GWAS", "PRS", "behavioural genetics"	weekly	LOW		afinada tras definir el perfil, 2026-08-23
SRC-0009	LinkedIn Jobs	JOBS	https://www.linkedin.com/jobs	Industry, pharma, medical affairs, science roles	titles: "statistical geneticist", "computational genetics", "genetic epidemiologist", "medical science liaison", "medical writer", "science communication officer"; countries: EU/EEA, Australia, USA, UK and other English-speaking, remote included	weekly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0010	BioSpace	JOBS	https://www.biospace.com/jobs	Pharma and biotech industry jobs	keywords "statistical genetics", "computational biology", "genomics", "clinical genetics"; companies of interest: 23andMe, Invitae, Color Health, Genomics England, Regeneron Genetics Center, Illumina, deCODE genetics	weekly	MEDIUM		afinada tras definir el perfil, 2026-08-23
SRC-0011	MSCA Postdoctoral Fellowships	FELLOWSHIPS	https://marie-sklodowska-curie-actions.ec.europa.eu	EU flagship postdoc fellowship, annual call (watch mobility rule)	annual call page + open calendar; verify mobility rule against her Spain/Australia/Japan last-3-years residence	monthly	HIGH		afinada tras definir el perfil, 2026-08-23
SRC-0012	EMBO Fellowships	FELLOWSHIPS	https://www.embo.org/funding/fellowships-grants-and-career-support/	Postdoctoral fellowships (rolling) and core facility fellowships	rolling; check eligibility window against Feb 2028 (ETA) defense date	monthly	HIGH		afinada tras definir el perfil, 2026-08-23
