ID	Name	Provider	Type	City_or_Online	Start_Date	End_Date	Deadline	Cost_EUR	Funding_Available	Fit_1_5	Fit_Rationale	Competition_Level	Effort_Estimate	Confidence	Last_Verified	First_Seen	Last_Updated	Change_Flag	Next_Action	Owner_Status	URL	Source_Note
T-0001	International Statistical Genetics Workshop (el 'Boulder Workshop')	Institute for Behavioral Genetics, University of Colorado Boulder	Workshop	Boulder, Colorado, USA (presencial)	2027-03-01	2027-03-05		550	Programa ISCEP financiado por el Regeneron Genetics Center, mas apoyo de la subvencion NIMH MH19918; existe inscripcion anticipada para quien necesita visado. NO hay beca individual localizada para ella.	5	Es su diana de formacion: el temario 2027 se centra en modelado genetico latente e incluye modelos de gemelos, OpenMx, genomic SEM y aleatorizacion mendeliana, justo los metodos avanzados de genetica estadistica que hoy no despliega sola. Cae 1-5 mar 2027, aun dentro de la residencia (termina el 22-may-2027), asi que exigiria permiso. La financiacion NO la cubre: la beca ISCEP excluye a los paises de renta alta, de modo que cuota, vuelos y alojamiento a EEUU corren por su cuenta.	LOW	S	VERIFIED en fechas y formato; UNVERIFIED en coste	2026-09-21	2026-08-24	2026-09-21	UPDATED	La inscripcion NO ha abierto y no hay tarifa publicada. Revisar colorado.edu/ibg/workshop-2027 cada 3-4 semanas desde noviembre-2026, o escribir a IBGworkshop@colorado.edu pidiendo aviso de apertura. Recordar que este taller de marzo se imparte cada TRES anos: perder 2027 significa esperar a 2030.	NEW	https://www.colorado.edu/ibg/workshop-2027	Pagina oficial del taller 2027 abierta el 2026-09-21: 1-5 mar 2027, presencial en Boulder, eje 'latent genetic modeling', con PRS, randomizacion mendeliana, GenomicSEM, GREML y potencia estadistica en el temario. Sin enlace de inscripcion y sin tarifa: los 550 EUR de esta fila siguen siendo ESTIMACION. La tarifa academica de 2024 fue 600 USD, solo como referencia historica. Las URL colorado.edu/ibg/international-workshop y /isg-workshop dan 404; el patron vivo es workshop-AAAA.
T-0002	Genetic Epidemiology (short course)	University of Bristol, Bristol Medical School / MRC IEU	Short course	Online en directo	2027-01-27	2027-02-03	2027-01-13	1450	Sin beca aplicable: los voucher packs de Bristol cubren solo a doctorandos y personal de la propia Bristol Medical School, profesionales de salud publica del suroeste de Inglaterra, empleados de organizaciones beneficas medicas del RU y residentes de paises de renta baja o media-baja. Ella no encaja en ninguno: coste integro a su cargo.	4	Profundiza su caja de herramientas nuclear de genetica estadistica/GWAS dentro de un marco riguroso de epidemiologia genetica (heredabilidad, asociacion, confusion, contexto de PRS). Online, poca logistica, encaja entre su doctorado y su residencia. La financiacion solo lo cubre si cumple para los vouchers de Bristol; si no, autofinanciado.	LOW	XS	VERIFIED	2026-09-21	2026-08-24	2026-09-21	UPDATED	Crear YA la cuenta de reservas (disponible desde el 23-sep-2026) y reservar el 7-oct-2026 a las 12:00 hora del RU, que es cuando abren las reservas del programa 2026/27.	NEW	https://www.bristol.ac.uk/medical-school/short-courses-and-cpd/short-courses/courses/genetic-epidemiology/	Listado oficial 2026/27 de Bristol abierto el 2026-09-21: el curso son DOS bloques, 27-29 ene y 1-3 feb 2027. Deadline = dos semanas antes del inicio, regla general de Bristol. La tarifa individual solo se ve abriendo la pagina del curso, no comprobada esta semana. OJO: las URL con /study/short-courses/ redirigen 302 a /short-courses-and-cpd/short-courses/.
T-0003	Mendelian Randomization (short course)	University of Bristol, Bristol Medical School / MRC IEU	Short course	Online en directo	2027-03-15	2027-03-19	2027-03-01	1020	Sin beca aplicable (mismos criterios de voucher pack que T-0002, ninguno le encaja); coste integro a su cargo.	4	La MR es una extension natural y de alto valor de sus habilidades de GWAS/PRS para inferencia causal en genetica psiquiatrica/de rasgos complejos (lineas 1-2). Impartido por la unidad lider del campo (MRC IEU). Online, esfuerzo XS. Autofinanciado salvo elegibilidad de voucher.	LOW	XS	VERIFIED	2026-09-21	2026-08-24	2026-09-21	UPDATED	Crear la cuenta de reservas ya y reservar el 7-oct-2026 a las 12:00 RU.	NEW	https://www.bristol.ac.uk/medical-school/short-courses-and-cpd/short-courses/courses/mr/	Listado oficial 2026/27 de Bristol abierto el 2026-09-21: 15-19 mar 2027. Deadline = dos semanas antes del inicio. Tarifa individual sin comprobar esta semana.
T-0004	Genetic Analysis of Population-based Association Studies	Wellcome Connecting Science (Wellcome Genome Campus)	Practical course	Wellcome Genome Campus, Hinxton, UK (residencial)				965	Becas limitadas que ofrecen hasta 50% de reduccion de matricula (segun la ultima edicion).	4	Directamente en su nucleo: GWAS practico / analisis de asociacion basado en poblacion - refuerza las habilidades exactas que usa de forma independiente y la situa en una cohorte internacional fuerte. Candidatura selectiva. AUN no hay edicion 2026/2027 confirmada - elemento de vigilancia; residencial en RU.	MEDIUM	M	VERIFIED (negativo)	2026-09-21	2026-08-24	2026-09-21	UPDATED	Una sola revision en enero-2027 y, si sigue sin haber edicion, CERRAR la fila en vez de arrastrarla.	NEW	https://coursesandconferences.wellcomeconnectingscience.org/event/genetic-analysis-of-population-based-association-studies-20240902/	Catalogo de Wellcome Connecting Science revisado el 2026-09-21: solo muestra ediciones de este curso hasta septiembre-2025 y el listado de cursos proximos ofrece unicamente dos de 2026 (Accelerating Translation of Biodata to Impact, 22-24 sep 2026, y Scalable Genomics and Pangenomics, 11-16 oct 2026). NINGUN curso de 2027 anunciado: es un negativo verificado, no un fallo de busqueda.
T-0005	CAJAL Course: Neurobiology of Sleep	CAJAL Advanced Neuroscience Training Programme / Bordeaux School of Neuroscience	Practical course	Bordeaux, France	2026-11-19	2026-12-08	2026-08-27	4500	Estipendios de la Boehringer Ingelheim Foundation y de la FENS (para la edicion 2026, ya cerrada)	2	Toca su linea de sueno (#3) pero es neurobiologia de sueno de laboratorio humedo, NO estadistica/genetica - fuera de sus tecnicas; el plazo es 2026-08-27 (a 3 dias), practicamente inviable ahora, y es un bloque de 3 semanas que choca con la residencia. Solo registrar.	HIGH	M	VERIFIED	2026-09-14	2026-08-24	2026-09-07	CLOSED	No revisar hasta junio-2027 por si anuncian una edicion posterior; en cualquier caso es laboratorio humedo fuera de su tecnica	NEW	https://cajal-training.org/courses/	cajal-training.org/courses/ reabierta el 2026-09-14: el listado solo llega hasta diciembre de 2026 y NO hay ninguna edicion 2027 anunciada, ni de Neurobiology of Sleep ni del resto del programa. Sigue cerrado.
T-0006	Statistical Analysis of Genome Scale Data	Cold Spring Harbor Laboratory (CSHL)	Practical course	Cold Spring Harbor, NY, USA (residencial)				4420	~la mitad de los trainees reciben ayuda por necesidad; los participantes internacionales pueden solicitar apoyo HHMI.	2	Prestigioso y fuerte en estadistica genomica/R-Bioconductor, pero su alcance es RNA-seq/ChIP-seq/ATAC-seq mas que su nucleo de GWAS/PRS, y es costoso y residencial en EE.UU. Edicion 2026 ya pasada - vigilar 2027 como opcion de menor prioridad.	HIGH	M	VERIFIED	2026-09-14	2026-08-24	2026-08-24	UNCHANGED		NEW	https://meetings.cshl.edu/courses.aspx?course=C-DATA	meetings.cshl.edu/courseshome.aspx reabierta el 2026-09-14: 'Statistical Analysis of Genome Scale Data' no aparece con edicion 2027 ni con fechas. El unico curso proximo de genomica humana computacional es 'Computational Genomics' (14-21 nov 2026), cuyo plazo vencio el 2026-09-11 y cuyo encaje es genomica computacional, no GWAS/PRS. Proxima comprobacion en primavera-2027, cuando CSHL suele publicar el calendario del ano siguiente.
T-0007	Advanced Mendelian Randomization	Universidad de Bristol / Bristol Medical School (MRC IEU)	Curso corto avanzado	Online	2026-11-25	2026-11-27	2026-11-11	725	Ninguna localizada para ella: los cinco packs de vales de Bristol excluyen su caso	4	Cierra de lleno el hueco de aleatorizacion mendeliana avanzada que ella no domina sola (metodos robustos a pleiotropia, MR multivariante, MR intrafamiliar, multiancestral, sesgo de colisionador), pero exige haber hecho antes el curso introductorio de MR (T-0003, marzo-2027), asi que su edicion realista es la siguiente (previsiblemente nov-2027) y no la de nov-2026; la financiacion NO lo cubre, son 730 EUR a su cargo.	LOW	S	VERIFIED	2026-09-21	2026-09-07	2026-09-21	UPDATED	EL RELOJ MAS CERCANO DE ESTA PESTANA. Crear la cuenta de reservas desde el 23-sep-2026 y reservar el 7-oct-2026 a las 12:00 RU. No puede estar agotado todavia porque las reservas no han abierto.		https://www.bristol.ac.uk/medical-school/short-courses-and-cpd/short-courses/courses/advanced-mr/	Pagina oficial del curso abierta el 2026-09-21: 630 GBP = ~725 EUR a 1.15 (antes figuraban 737 EUR). Las reservas cierran dos semanas antes del inicio, de ahi el 2026-11-11. Formato online.
T-0008	Machine Learning with Omics Data	Universidad de Bristol / Bristol Medical School	Curso corto	Online en directo	2027-06-22	2027-06-24	2027-06-08		Desconocida; no consta beca en el catalogo	3	Toca su hueco de bioinformatica de datos omicos y ademas cae en junio de 2027, ya fuera de la residencia, pero no es genetica estadistica nuclear y no he podido leer cuota ni programa detallado.	LOW	S	VERIFIED	2026-09-21	2026-09-07	2026-09-21	UPDATED	Decidir en primavera-2027 junto con el resto de la oferta de Bristol; la ficha individual del curso aun no esta publicada, asi que la cuota se conocera al abrir reservas el 2026-10-07.		https://www.bristol.ac.uk/medical-school/short-courses-and-cpd/short-courses/courses/	Listado oficial 2026/27 de Bristol abierto el 2026-09-21: 22-24 jun 2027. Deadline = dos semanas antes. Tarifa sin publicar en el listado.
T-0009	Molecular Epidemiology	Universidad de Bristol / Bristol Medical School (MRC IEU)	Curso corto	Online en directo	2027-03-22	2027-03-24	2027-03-08	878	Sin beca ni exencion aplicable; coste integro a su cargo.	3	Datos omicos a gran escala (metilacion, metabolomica, expresion, proteomica) con inferencia causal y MR aplicada, es decir su hueco de omicas. Dos peros concretos: cae en plena residencia y solapa en parte con epidemiologia genetica. A favor, un detalle de calendario que si cambia la decision: va la semana siguiente al MR introductorio (15-19 mar 2027), asi que ambos se encadenarian con un unico permiso.	LOW	S	VERIFIED	2026-09-21	2026-09-07	2026-09-21	UPDATED	Solo si sobran presupuesto y dias: encadenarlo con T-0003 (MR introductorio) la semana anterior, aprovechando un unico permiso.		https://www.bristol.ac.uk/medical-school/short-courses-and-cpd/short-courses/courses/molecular-epidemiology/	Listado oficial 2026/27 de Bristol abierto el 2026-09-21: 22-24 mar 2027. Deadline = dos semanas antes.
T-0010	From Genetic Variants to Risk Prediction (UniTartu Summer School)	Universidad de Tartu, Estonia	Escuela de verano	Tartu, Estonia (presencial)	2026-07-27	2026-08-07	2026-04-20	750	No consta beca; ademas de la cuota de 750 EUR hay 25 EUR no reembolsables de tasa de solicitud, y alojamiento, comidas y viaje van aparte.	3	Escuela de verano en la UE (sin visado), barata y practica, que cubre control de calidad, PCA/UMAP, GWAS, puntuaciones poligenicas y flujos de trabajo reproducibles en R/Python y Unix, es decir refuerza su parte de programacion y buenas practicas; pero gran parte del contenido GWAS/PRS ya lo maneja sola y no llega a los metodos avanzados que de verdad le faltan.	LOW	M	VERIFIED	2026-09-14	2026-09-07	2026-09-14	CLOSED	La edicion 2026 ya se celebro y su plazo cerro el 2026-04-20. Revisar la pagina en marzo-2027: la convocatoria 2026 se abrio el 20-mar y cerro el 20-abr, con resolucion antes del 30-abr y pago antes del 31-may.		https://ut.ee/en/content/genetic-variants-risk-prediction	Pagina oficial de la UniTartu Summer School leida el 2026-09-14: 10 dias lectivos del 27-jul al 7-ago-2026, 750 EUR de matricula mas 25 EUR de solicitud, requiere carta de motivacion, expediente y copia del pasaporte. Contenido: EDA y visualizacion de datos genotipo-fenotipo, control de calidad, GWAS y PRS. No hay anuncio de edicion 2027. CORRECCION: la fila no tenia fechas y parecia una convocatoria viva; era la edicion 2026, ya celebrada y con plazo vencido.
